timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260420_185020,,5,42.415,reg-serial,640m,0.45,0.5,4,9.44,13.67,22.97,110.64,343.89,155,1325,1,650
20260420_185020,,6,20.186,reg-serial,640m,0.45,0.5,4,9.44,13.93,22.97,118.54,356.47,101,709,1,504
20260420_185020,,3,35.003,reg-serial,640m,0.45,0.5,4,10.49,16.18,22.97,132.2,373.52,141,1059,0,0
20260420_185020,,1,50.43,reg-serial,640m,0.45,0.5,4,10.49,16.18,22.97,145.8,390.96,364,2724,1,718
20260420_185020,,5,29.798,reg-serial,640m,0.45,0.5,4,10.49,16.18,23.02,145.8,391.75,126,1009,0,0
20260420_185020,,3,31.144,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,391.75,139,1092,1,627
20260420_185020,,1,47.807,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,393.0,367,2689,1,634
20260420_185020,,6,17.017,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,393.0,101,739,0,0
20260420_185020,,1,46.157,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,393.0,366,2127,0,0
20260420_185020,,5,28.955,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,393.0,124,994,1,668
20260420_185020,,6,16.575,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,393.0,99,702,0,0
20260420_185020,,3,30.708,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,394.05,140,1097,1,453
20260420_185020,,3,29.662,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,396.35,138,1116,0,0
20260420_185020,,6,17.216,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,396.81,100,788,1,612
20260420_185020,,5,28.428,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,396.94,125,1082,0,0
20260420_185020,,1,47.055,reg-serial,640m,0.45,0.5,4,10.49,20.46,30.95,145.8,398.89,321,2077,1,779
20260420_185020,,5,28.569,reg-serial,640m,0.45,0.5,4,10.49,26.68,36.11,149.78,404.59,108,934,0,0
20260420_185020,,1,47.725,reg-serial,640m,0.45,0.5,4,10.49,27.39,36.83,155.7,419.14,273,1807,1,820
20260420_185020,,3,30.213,reg-serial,640m,0.45,0.5,4,10.49,28.53,36.83,173.54,429.96,104,829,0,0
20260420_185020,,6,17.846,reg-serial,640m,0.45,0.5,4,10.49,28.53,36.83,189.58,438.74,75,584,0,0
