timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260420_204729,,6,23.228,default,768m,0.45,0.5,4,4.72,1.12,5.29,82.17,290.1,147,925,1,656
20260420_204729,,5,40.644,default,768m,0.45,0.5,4,9.44,13.56,22.86,99.5,344.76,177,1508,1,609
20260420_204729,,3,39.902,default,768m,0.45,0.5,4,10.49,14.56,22.86,123.73,373.58,152,1291,1,703
20260420_204729,,1,52.426,default,768m,0.45,0.5,4,10.49,14.56,22.86,128.09,373.97,398,2704,0,0
20260420_204729,,5,33.035,default,768m,0.45,0.5,4,10.49,14.56,22.86,140.34,374.53,137,1183,1,599
20260420_204729,,3,32.266,default,768m,0.45,0.5,4,10.49,15.76,22.86,140.34,385.27,149,1198,1,707
20260420_204729,,1,49.108,default,768m,0.45,0.5,4,10.49,15.76,22.86,146.92,396.28,335,2408,0,0
20260420_204729,,6,16.563,default,768m,0.45,0.5,4,10.49,15.76,22.86,146.92,396.81,91,614,0,0
20260420_204729,,6,15.86,default,768m,0.45,0.5,4,10.49,15.76,22.86,168.08,400.97,93,606,0,0
20260420_204729,,5,30.194,default,768m,0.45,0.5,4,10.49,15.76,23.02,168.08,407.61,115,1051,1,632
20260420_204729,,1,49.381,default,768m,0.45,0.5,4,10.49,15.76,23.02,168.08,411.93,335,2479,0,0
20260420_204729,,3,30.497,default,768m,0.45,0.5,4,10.49,15.76,23.02,168.08,411.93,127,991,1,643
