timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260420_230113,,3,44.087,reserved-code-cache-48,768m,0.45,0.5,4,10.49,7.09,17.57,87.3,315.14,218,1612,1,370
20260420_230113,,1,56.062,reserved-code-cache-48,768m,0.45,0.5,4,10.49,7.66,17.57,103.97,330.74,499,3229,1,646
20260420_230113,,6,16.448,reserved-code-cache-48,768m,0.45,0.5,4,10.49,7.66,17.57,113.12,340.3,134,853,0,0
20260420_230113,,5,35.798,reserved-code-cache-48,768m,0.45,0.5,4,10.49,13.45,22.89,113.12,359.01,159,1348,1,652
20260420_230113,,3,31.69,reserved-code-cache-48,768m,0.45,0.5,4,10.49,13.45,22.89,113.97,363.21,176,1404,1,689
20260420_230113,,5,31.767,reserved-code-cache-48,768m,0.45,0.5,4,10.49,13.59,22.89,113.97,365.91,157,1388,1,565
20260420_230113,,6,16.628,reserved-code-cache-48,768m,0.45,0.5,4,10.49,13.59,22.89,113.97,370.84,125,931,1,602
20260420_230113,,1,52.732,reserved-code-cache-48,768m,0.45,0.5,4,10.49,13.59,22.89,113.97,370.84,462,3115,0,0
20260420_230113,,6,15.713,reserved-code-cache-48,768m,0.45,0.5,4,10.49,13.59,22.89,118.94,370.84,128,779,0,0
20260420_230113,,1,47.312,reserved-code-cache-48,768m,0.45,0.5,4,10.49,13.59,22.89,118.94,370.84,391,2236,1,666
20260420_230113,,5,27.564,reserved-code-cache-48,768m,0.45,0.5,4,10.49,13.59,22.89,136.0,380.99,133,1107,0,0
20260420_230113,,3,30.035,reserved-code-cache-48,768m,0.45,0.5,4,10.49,14.56,22.89,136.0,403.66,129,1093,1,673
