timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260420_232502,,6,20.088,c2-only,768m,0.45,0.5,4,9.44,14.09,22.87,117.86,315.11,116,768,1,617
20260420_232502,,1,57.084,c2-only,768m,0.45,0.5,4,9.44,14.46,23.28,125.9,325.2,428,2734,0,0
20260420_232502,,3,36.788,c2-only,768m,0.45,0.5,4,10.49,14.46,23.28,125.9,338.66,161,1303,1,574
20260420_232502,,5,31.244,c2-only,768m,0.45,0.5,4,10.49,20.38,29.82,125.9,343.45,138,1168,1,694
20260420_232502,,3,31.525,c2-only,768m,0.45,0.5,4,10.49,21.53,29.82,137.05,362.63,122,994,1,538
20260420_232502,,6,15.745,c2-only,768m,0.45,0.5,4,10.49,21.53,29.82,163.47,385.96,87,762,0,0
20260420_232502,,1,50.122,c2-only,768m,0.45,0.5,4,10.49,21.53,29.82,163.47,393.69,303,2074,1,588
20260420_232502,,5,29.278,c2-only,768m,0.45,0.5,4,10.49,21.53,29.85,165.68,395.75,101,908,0,0
20260420_232502,,1,48.88,c2-only,768m,0.45,0.5,4,10.49,21.53,30.57,186.93,395.75,302,2121,0,0
20260420_232502,,6,16.224,c2-only,768m,0.45,0.5,4,10.49,21.53,30.57,186.93,400.51,82,598,1,545
20260420_232502,,3,30.37,c2-only,768m,0.45,0.5,4,10.49,21.53,30.57,186.93,401.64,117,989,0,0
20260420_232502,,5,28.761,c2-only,768m,0.45,0.5,4,10.49,22.59,32.02,186.93,401.64,100,931,1,605
