timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260421_095125,,3,117.833,default,768m,0.45,0.5,4,12.32,42.69,55.01,168.59,435.3,418,2965,1,643
20260421_095125,,6,76.276,default,768m,0.45,0.5,4,12.32,42.69,55.01,184.23,455.54,222,1551,0,0
20260421_095125,,5,112.743,default,768m,0.45,0.5,4,12.32,42.69,55.01,229.18,496.08,268,2274,1,892
20260421_095125,,1,208.021,default,768m,0.45,0.5,4,12.32,42.69,55.01,229.18,502.98,804,5077,0,0
20260421_095125,,6,73.051,default,768m,0.45,0.5,4,12.32,42.69,55.01,229.18,503.64,222,1722,0,0
20260421_095125,,5,108.089,default,768m,0.45,0.5,4,12.32,42.69,55.01,229.18,503.64,266,2023,1,782
20260421_095125,,1,201.306,default,768m,0.45,0.5,4,12.32,42.69,55.01,229.18,503.64,804,5073,0,0
20260421_095125,,3,113.291,default,768m,0.45,0.5,4,12.32,42.69,55.01,229.18,506.5,301,2069,1,824
20260421_095125,,1,201.134,default,768m,0.45,0.5,4,12.32,42.69,55.01,229.18,506.5,804,5252,0,0
20260421_095125,,6,72.279,default,768m,0.45,0.5,4,12.32,42.69,55.01,230.15,506.5,222,1499,0,0
20260421_095125,,3,112.736,default,768m,0.45,0.5,4,12.32,42.69,55.01,230.15,506.64,302,2183,1,750
20260421_095125,,5,105.11,default,768m,0.45,0.5,4,12.32,42.69,55.01,234.15,506.64,266,2095,1,830
