timestamp,run,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260422_003325,,5,108.902,default,512m,0.45,0.5,4,5.24,32.19,37.29,113.34,366.26,576,3815,2,781
20260422_003325,,6,57.658,default,512m,0.45,0.5,4,5.24,32.7,37.29,143.01,378.58,331,1898,0,0
20260422_003325,,3,105.556,default,512m,0.45,0.5,4,6.29,32.73,37.29,155.55,401.67,455,3218,1,781
20260422_003325,,1,168.433,default,512m,0.45,0.5,4,6.29,32.73,37.29,155.55,408.85,1011,5376,1,777
20260422_003325,,6,58.611,default,512m,0.45,0.5,4,6.29,32.73,37.29,155.92,412.65,282,1615,0,0
20260422_003325,,5,96.038,default,512m,0.45,0.5,4,6.29,32.73,37.3,168.16,439.52,340,2549,1,725
20260422_003325,,3,101.137,default,512m,0.45,0.5,4,6.29,35.98,37.3,185.74,448.41,368,2494,1,486
20260422_003325,,1,163.381,default,512m,0.45,0.5,4,6.29,35.98,37.3,198.42,452.87,908,4941,0,0
20260422_003325,,6,57.106,default,512m,0.45,0.5,4,6.29,35.98,37.3,204.34,462.14,257,1435,1,497
20260422_003325,,1,162.435,default,512m,0.45,0.5,4,6.29,35.98,37.3,204.34,464.76,910,4934,0,0
20260422_003325,,5,93.819,default,512m,0.45,0.5,4,6.29,35.98,37.39,204.34,464.76,307,2057,1,429
20260422_003325,,3,99.833,default,512m,0.45,0.5,4,6.29,36.08,37.39,204.34,469.61,344,2268,0,0
