timestamp,query,elapsed_s,jvm_config,executor_memory,memory_fraction,storage_fraction,shuffle_partitions,OnHeapExecutionMemory_MB,OnHeapStorageMemory_MB,OnHeapUnifiedMemory_MB,JVMHeapMemory_MB,ProcessTreeJVMRSS_MB,MinorGCCount,MinorGCTime_ms,MajorGCCount,MajorGCTime_ms
20260303_002248,6,132.293,128,640m,0.45,0.5,4,0.0,0.51,0.51,176.43,421.87,146,2038,0,0
20260303_002802,6,129.667,256,640m,0.45,0.5,4,0.0,0.54,0.54,215.24,426.49,102,1591,0,0
20260303_003414,6,126.92,384,640m,0.45,0.5,4,0.0,0.54,0.54,296.22,509.1,70,1026,0,0
20260303_003727,6,129.328,512,640m,0.45,0.5,4,0.0,0.54,0.54,377.88,591.06,57,1457,0,0
20260303_005044,6,128.557,0,640m,0.45,0.5,4,0.0,0.54,0.54,191.4,414.65,148,1848,0,0
20260303_005940,6,118.124,0-any,640m,0.45,0.5,4,0.0,0.54,0.54,75.14,281.53,681,4124,5,958
20260303_011303,6,115.55,128-any,640m,0.45,0.5,4,0.0,0.54,0.54,88.11,294.03,426,2703,3,669
20260303_011555,6,110.91,256-any,640m,0.45,0.5,4,0.0,0.51,0.51,120.51,335.46,213,1479,3,661
20260303_011946,6,113.946,384-any,640m,0.45,0.5,4,0.0,1.13,1.13,159.49,382.62,141,1307,3,803
20260303_012232,6,113.103,512-any,640m,0.45,0.5,4,0.0,0.54,0.54,190.67,409.52,105,1057,3,620
