header,maxmem,runtime
Query9 dietpi liberica mem512m default,531896,257
Query9 dietpi liberica mem640m default,587932,249
Query9 dietpi liberica mem768m default,589696,261
Query9 dietpi liberica mem896m default,618896,257

Query9 dietpi liberica mem640m default 75,557272,268
Query9 dietpi liberica mem640m default 45,593036,265
Query9 dietpi liberica mem640m default 5,578908,259
Query9 dietpi liberica mem640m default 55,587428,256
Query9 dietpi liberica mem640m default 65,555276,258
Query9 dietpi liberica mem640m default 7,586160,258
