timestamp,query,elapsed_s,active_config
20260605_031449,103,20.721,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031449,103,19.347,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031449,103,18.935,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031449,103,18.418,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031449,103,18.628,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031838,103,21.605,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031838,103,20.28,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031838,103,20.065,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031838,103,19.556,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_031838,103,19.955,groupBy-x6-sf1-mem512-3-4:1-48part-partbytes64m
20260605_032246,103,8.873,groupBy-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_032246,103,8.645,groupBy-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_032246,103,8.12,groupBy-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_032246,103,8.827,groupBy-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_032246,103,8.448,groupBy-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_032526,103,9.986,groupBy-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_032526,103,9.607,groupBy-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_032526,103,9.908,groupBy-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_032526,103,9.205,groupBy-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_032526,103,8.944,groupBy-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_032747,103,12.706,groupBy-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_032747,103,11.41,groupBy-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_032747,103,11.511,groupBy-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_032747,103,11.863,groupBy-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_032747,103,11.557,groupBy-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_033040,103,9.961,groupBy-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_033040,103,9.75,groupBy-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_033040,103,9.844,groupBy-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_033040,103,9.57,groupBy-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_033040,103,8.915,groupBy-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_033301,103,9.754,groupBy-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_033301,103,9.844,groupBy-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_033301,103,13.694,groupBy-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_033301,103,8.784,groupBy-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_033301,103,9.22,groupBy-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_033539,103,10.117,groupBy-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_033539,103,10.334,groupBy-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_033539,103,10.306,groupBy-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_033539,103,9.3,groupBy-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_033539,103,9.068,groupBy-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_033803,103,8.963,groupBy-x6-sf1-mem512-3-1:1-16part-partbytes32m
20260605_033803,103,9.178,groupBy-x6-sf1-mem512-3-1:1-16part-partbytes32m
