timestamp,query,elapsed_s,active_config
20260605_095132,106,14.552,broadcastJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_095132,106,16.069,broadcastJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_095132,106,14.986,broadcastJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_095132,106,15.003,broadcastJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_095132,106,14.13,broadcastJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_095438,106,14.995,broadcastJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_095438,106,13.569,broadcastJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_095438,106,13.906,broadcastJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_095438,106,12.897,broadcastJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_095438,106,12.837,broadcastJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_095723,106,33.445,broadcastJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_095723,106,19.985,broadcastJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_095723,106,17.162,broadcastJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_095723,106,17.088,broadcastJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_095723,106,17.081,broadcastJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_100052,106,14.549,broadcastJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_100052,106,14.622,broadcastJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_100052,106,13.617,broadcastJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_100052,106,12.95,broadcastJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_100052,106,12.839,broadcastJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_100339,106,22.253,broadcastJoin-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_100339,106,19.346,broadcastJoin-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_100339,106,18.987,broadcastJoin-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_100339,106,18.902,broadcastJoin-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_100339,106,14.312,broadcastJoin-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_100718,106,15.224,broadcastJoin-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_100718,106,14.654,broadcastJoin-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_100718,106,13.681,broadcastJoin-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_100718,106,13.222,broadcastJoin-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_100718,106,13.283,broadcastJoin-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_101007,106,19.676,broadcastJoin-x6-sf1-mem512-3-1:1-16part-partbytes32m
20260605_101007,106,18.507,broadcastJoin-x6-sf1-mem512-3-1:1-16part-partbytes32m
20260605_101007,106,17.691,broadcastJoin-x6-sf1-mem512-3-1:1-16part-partbytes32m
20260605_101007,106,16.789,broadcastJoin-x6-sf1-mem512-3-1:1-16part-partbytes32m
20260605_101007,106,12.674,broadcastJoin-x6-sf1-mem512-3-1:1-16part-partbytes32m
20260605_101329,106,15.458,broadcastJoin-x6-sf1-mem512-3-1:0-16part-partbytes32m
20260605_101329,106,14.767,broadcastJoin-x6-sf1-mem512-3-1:0-16part-partbytes32m
20260605_101329,106,13.573,broadcastJoin-x6-sf1-mem512-3-1:0-16part-partbytes32m
20260605_101329,106,12.977,broadcastJoin-x6-sf1-mem512-3-1:0-16part-partbytes32m
20260605_101329,106,13.148,broadcastJoin-x6-sf1-mem512-3-1:0-16part-partbytes32m
20260605_101617,106,17.065,broadcastJoin-x6-sf1-mem512-3-1:1-24part-partbytes32m
20260605_101617,106,16.752,broadcastJoin-x6-sf1-mem512-3-1:1-24part-partbytes32m
20260605_101617,106,15.874,broadcastJoin-x6-sf1-mem512-3-1:1-24part-partbytes32m
20260605_101617,106,11.613,broadcastJoin-x6-sf1-mem512-3-1:1-24part-partbytes32m
20260605_101617,106,15.73,broadcastJoin-x6-sf1-mem512-3-1:1-24part-partbytes32m
20260605_101931,106,16.443,broadcastJoin-x6-sf1-mem512-3-1:0-24part-partbytes32m
20260605_101931,106,14.263,broadcastJoin-x6-sf1-mem512-3-1:0-24part-partbytes32m
20260605_101931,106,13.868,broadcastJoin-x6-sf1-mem512-3-1:0-24part-partbytes32m
20260605_101931,106,13.487,broadcastJoin-x6-sf1-mem512-3-1:0-24part-partbytes32m
20260605_101931,106,13.436,broadcastJoin-x6-sf1-mem512-3-1:0-24part-partbytes32m
20260605_102222,106,19.122,broadcastJoin-x6-sf1-mem512-3-1:1-32part-partbytes32m
20260605_102222,106,13.843,broadcastJoin-x6-sf1-mem512-3-1:1-32part-partbytes32m
20260605_102222,106,15.312,broadcastJoin-x6-sf1-mem512-3-1:1-32part-partbytes32m
20260605_102222,106,17.15,broadcastJoin-x6-sf1-mem512-3-1:1-32part-partbytes32m
20260605_102222,106,16.842,broadcastJoin-x6-sf1-mem512-3-1:1-32part-partbytes32m
20260605_102542,106,16.502,broadcastJoin-x6-sf1-mem512-3-1:0-32part-partbytes32m
20260605_102542,106,14.548,broadcastJoin-x6-sf1-mem512-3-1:0-32part-partbytes32m
20260605_102542,106,13.842,broadcastJoin-x6-sf1-mem512-3-1:0-32part-partbytes32m
20260605_102542,106,13.641,broadcastJoin-x6-sf1-mem512-3-1:0-32part-partbytes32m
20260605_102542,106,13.89,broadcastJoin-x6-sf1-mem512-3-1:0-32part-partbytes32m
20260605_102834,106,17.937,broadcastJoin-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_102834,106,18.465,broadcastJoin-x6-sf1-mem512-3-1:1-48part-partbytes32m
