timestamp,query,elapsed_s,active_config
20260605_050214,105,21.134,justSort-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_050214,105,17.626,justSort-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_050214,105,17.955,justSort-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_050214,105,18.766,justSort-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_050214,105,18.203,justSort-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_050555,105,15.022,justSort-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_050555,105,14.499,justSort-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_050555,105,15.131,justSort-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_050555,105,13.77,justSort-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_050555,105,13.683,justSort-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_050844,105,16.882,justSort-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_050844,105,15.408,justSort-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_050844,105,16.419,justSort-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_050844,105,16.01,justSort-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_050844,105,16.164,justSort-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_051200,105,15.514,justSort-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_051200,105,15.075,justSort-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_051200,105,14.559,justSort-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_051200,105,14.662,justSort-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_051200,105,13.978,justSort-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_051452,105,16.152,justSort-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_051452,105,14.739,justSort-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_051452,105,13.872,justSort-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_051452,105,13.672,justSort-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_051452,105,14.136,justSort-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_051757,105,15.508,justSort-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_051757,105,14.784,justSort-x6-sf1-mem512-3-1:0-12part-partbytes32m
20260605_051757,105,14.612,justSort-x6-sf1-mem512-3-1:0-12part-partbytes32m
