timestamp,query,elapsed_s,active_config
20260605_130831,1,20.514,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_130831,1,19.713,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_130831,1,19.557,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_130831,1,20.161,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_130831,1,19.371,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_131254,1,24.914,q1-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_131254,1,23.914,q1-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_131254,1,23.664,q1-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_131254,1,23.362,q1-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_131254,1,23.631,q1-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_131732,1,28.989,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_131732,1,24.583,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_131732,1,28.388,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_131732,1,24.58,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_131732,1,28.301,q1-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_132239,1,57.223,q1-x8-sf1-mem512-3-1:1-200part-partbytes128m
20260605_132239,1,57.337,q1-x8-sf1-mem512-3-1:1-200part-partbytes128m
20260605_132239,1,58.145,q1-x8-sf1-mem512-3-1:1-200part-partbytes128m
20260605_132239,1,58.576,q1-x8-sf1-mem512-3-1:1-200part-partbytes128m
20260605_132239,1,58.897,q1-x8-sf1-mem512-3-1:1-200part-partbytes128m
