timestamp,query,elapsed_s,active_config
20260605_134204,3,14.746,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_134204,3,13.645,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_134204,3,14.063,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_134204,3,12.944,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_134204,3,13.347,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_134545,3,14.14,q3-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_134545,3,13.481,q3-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_134545,3,13.115,q3-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_134545,3,12.767,q3-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_134545,3,13.475,q3-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_134906,3,12.181,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_134906,3,11.407,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_134906,3,11.629,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_134906,3,11.031,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_134906,3,11.626,q3-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_135225,3,31.784,q3-x8-sf1-mem512-3-1:1-200part-partbytes128m
20260605_135225,3,32.934,q3-x8-sf1-mem512-3-1:1-200part-partbytes128m
20260605_135225,3,32.655,q3-x8-sf1-mem512-3-1:1-200part-partbytes128m
20260605_135225,3,32.915,q3-x8-sf1-mem512-3-1:1-200part-partbytes128m
20260605_135225,3,32.513,q3-x8-sf1-mem512-3-1:1-200part-partbytes128m
