timestamp,query,elapsed_s,active_config
20260605_160247,6,8.175,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_160247,6,7.975,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_160247,6,7.522,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_160247,6,6.486,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_160247,6,6.618,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_160247,6,6.453,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_160247,6,6.748,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m
20260605_160526,6,8.58,q6-rvals-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_160526,6,8.236,q6-rvals-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_160526,6,8.326,q6-rvals-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_160526,6,8.264,q6-rvals-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_160526,6,7.959,q6-rvals-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_160526,6,8.453,q6-rvals-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_160526,6,8.424,q6-rvals-x8-sf1-mem512-3-1:0-48part-partbytes32m
20260605_160800,6,6.957,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_160800,6,8.781,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_160800,6,6.625,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_160800,6,8.916,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_160800,6,6.919,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_160800,6,6.648,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
20260605_160800,6,6.812,q6-rvals-x8-sf1-mem512-3-1:1-48part-partbytes32m-operationAware
