timestamp,query,elapsed_s,active_config
20260605_021059,102,22.663,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_021059,102,22.832,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_021059,102,23.5,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_021059,102,22.982,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_021059,102,23.886,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_021525,102,7.08,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_021525,102,7.163,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_021525,102,7.691,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_021525,102,7.526,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_021525,102,7.077,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_021723,102,23.024,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_021723,102,23.027,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_021723,102,23.88,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_021723,102,23.994,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_021723,102,23.373,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_022153,102,7.259,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_022153,102,7.226,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_022153,102,7.703,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_022153,102,7.489,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_022153,102,7.265,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_022351,102,13.76,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_022351,102,13.819,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_022351,102,14.535,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_022351,102,14.893,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_022351,102,14.5,scanFilterAgg-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_022711,102,7.602,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_022711,102,7.824,scanFilterAgg-x6-sf1-mem512-3-1:0-48part-partbytes64m
