timestamp,query,elapsed_s,active_config
20260605_011925,101,23.872,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_011925,101,23.969,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_011925,101,23.983,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_011925,101,23.622,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_011925,101,23.915,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_012356,101,7.231,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_012356,101,7.288,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_012356,101,7.815,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_012356,101,7.619,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_012356,101,7.71,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_012556,101,20.947,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_012556,101,24.237,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_012556,101,22.918,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_012556,101,24.22,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_012556,101,23.401,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_013023,101,7.333,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_013023,101,7.38,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_013023,101,7.512,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_013023,101,7.549,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_013023,101,7.408,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_013222,101,15.111,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_013222,101,15.777,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_013222,101,15.289,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_013222,101,15.601,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_013222,101,15.208,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_013551,101,7.723,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_013551,101,7.802,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_013551,101,8.133,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_013551,101,7.951,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_013551,101,7.689,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_013755,101,10.938,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_013755,101,10.822,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_013755,101,12.137,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_013755,101,11.303,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_013755,101,12.415,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_014051,101,7.817,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_014051,101,7.825,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_014051,101,8.491,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_014051,101,7.791,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_014051,101,7.794,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_014258,101,8.38,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_014258,101,7.173,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_014258,101,8.852,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_014258,101,7.758,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_014258,101,7.254,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_014521,101,8.308,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_014521,101,8.087,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_014521,101,8.11,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_014521,101,8.406,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_014521,101,8.134,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_014733,101,10.46,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_014733,101,9.368,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_014733,101,10.527,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_014733,101,10.248,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_014733,101,9.781,scanFilter-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_015003,101,8.381,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes24m
20260605_015003,101,8.541,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes24m
20260605_015003,101,8.749,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes24m
20260605_015003,101,8.16,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes24m
20260605_015003,101,8.031,scanFilter-x6-sf1-mem512-3-1:0-48part-partbytes24m
