timestamp,query,elapsed_s,active_config
20260605_004104,100,16.369,scan-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_004104,100,18.072,scan-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_004104,100,18.355,scan-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_004104,100,16.913,scan-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_004104,100,16.776,scan-x6-sf1-mem512-3-1:1-48part-partbytes128m
20260605_004453,100,5.341,scan-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_004453,100,5.774,scan-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_004453,100,5.591,scan-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_004453,100,5.561,scan-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_004453,100,5.43,scan-x6-sf1-mem512-3-1:0-48part-partbytes128m
20260605_004641,100,17.577,scan-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_004641,100,16.88,scan-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_004641,100,18.504,scan-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_004641,100,18.724,scan-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_004641,100,18.304,scan-x6-sf1-mem512-3-1:1-48part-partbytes96m
20260605_005036,100,5.484,scan-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_005036,100,5.664,scan-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_005036,100,5.501,scan-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_005036,100,5.239,scan-x6-sf1-mem512-3-1:0-48part-partbytes96m
20260605_005036,100,5.275,scan-x6-sf1-mem512-3-1:0-48part-partbytes96m
0260605_005223,100,10.702,scan-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_005223,100,10.928,scan-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_005223,100,10.609,scan-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_005223,100,10.777,scan-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_005223,100,11.167,scan-x6-sf1-mem512-3-1:1-48part-partbytes64m
20260605_005529,100,5.705,scan-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_005529,100,5.706,scan-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_005529,100,6.029,scan-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_005529,100,5.689,scan-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_005529,100,5.611,scan-x6-sf1-mem512-3-1:0-48part-partbytes64m
20260605_005719,100,7.941,scan-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_005719,100,7.886,scan-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_005719,100,9.109,scan-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_005719,100,7.917,scan-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_005719,100,7.777,scan-x6-sf1-mem512-3-1:1-48part-partbytes48m
20260605_005954,100,5.927,scan-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_005954,100,6.092,scan-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_005954,100,6.547,scan-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_005954,100,5.856,scan-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_005954,100,5.744,scan-x6-sf1-mem512-3-1:0-48part-partbytes48m
20260605_010149,100,5.853,scan-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_010149,100,5.565,scan-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_010149,100,7.099,scan-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_010149,100,4.81,scan-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_010149,100,5.212,scan-x6-sf1-mem512-3-1:1-48part-partbytes32m
20260605_010357,100,6.328,scan-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_010357,100,6.292,scan-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_010357,100,6.493,scan-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_010357,100,6.176,scan-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_010357,100,6.008,scan-x6-sf1-mem512-3-1:0-48part-partbytes32m
20260605_010556,100,9.184,scan-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_010556,100,7.294,scan-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_010556,100,8.962,scan-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_010556,100,7.247,scan-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_010556,100,8.772,scan-x6-sf1-mem512-3-1:1-48part-partbytes24m
20260605_010811,100,6.278,scan-x6-sf1-mem512-3-1:0-48part-partbytes24m
20260605_010811,100,6.335,scan-x6-sf1-mem512-3-1:0-48part-partbytes24m
20260605_010811,100,6.503,scan-x6-sf1-mem512-3-1:0-48part-partbytes24m
20260605_010811,100,6.144,scan-x6-sf1-mem512-3-1:0-48part-partbytes24m
20260605_010811,100,5.83,scan-x6-sf1-mem512-3-1:0-48part-partbytes24m
