timestamp,query,elapsed_s,active_config
20260605_040514,104,15.749,sortMergeJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_040514,104,14.03,sortMergeJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_040514,104,13.795,sortMergeJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_040514,104,13.657,sortMergeJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_040514,104,13.07,sortMergeJoin-x6-sf1-mem512-3-1:1-4part-partbytes32m
20260605_040824,104,15.466,sortMergeJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_040824,104,13.882,sortMergeJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_040824,104,14.001,sortMergeJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_040824,104,13.094,sortMergeJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_040824,104,13.086,sortMergeJoin-x6-sf1-mem512-3-1:0-4part-partbytes32m
20260605_041113,104,25.377,sortMergeJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_041113,104,21.969,sortMergeJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_041113,104,17.847,sortMergeJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_041113,104,22.197,sortMergeJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_041113,104,22.401,sortMergeJoin-x6-sf1-mem512-3-1:1-8part-partbytes32m
20260605_041510,104,15.248,sortMergeJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_041510,104,14.166,sortMergeJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_041510,104,14.039,sortMergeJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_041510,104,13.144,sortMergeJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_041510,104,13.233,sortMergeJoin-x6-sf1-mem512-3-1:0-8part-partbytes32m
20260605_041757,104,20.676,sortMergeJoin-x6-sf1-mem512-3-1:1-12part-partbytes32m
20260605_041757,104,19.824,sortMergeJoin-x6-sf1-mem512-3-1:1-12part-partbytes32m
